SEGMENT,DISTANCE,ANGLE
AG,9.50522638372358,1.41541
TG,31.1454368223861,1.41541
AT,34.3145881854057,1.41541
RO,8.65567965117617,1.41541
SO,15.8694474741074,1.41541
RS,15.0373861148451,1.41541
MP,8.65564523916733,1.41541
BH,9.50439696826987,1.41541
AG,2.74965970951420,1.41549
TG,9.04672510291307,1.41549
AT,9.95527940036557,1.41549
RO,2.50390564615171,1.41549
SO,4.61099980730303,1.41549
RS,4.35904650077081,1.41549
MP,2.50388805004825,1.41549
BH,2.74912116887522,1.41549
AG,8.89440413079487,1.41553
TG,29.2317029670360,1.41553
AT,32.1853088115431,1.41553
RO,8.10001604887040,1.41553
SO,14.9039267870066,1.41553
RS,14.1010801284260,1.41553
MP,8.10004321885961,1.41553
BH,8.89384384757664,1.41553
AG,18.1112717612395,1.41559
TG,59.4150789970517,1.41559
AT,65.4294821145761,1.41559
RO,16.4939785137427,1.41559
SO,30.2971011245597,1.41559
RS,28.6702806303302,1.41559
MP,16.4940935350682,1.41559
BH,18.1117456966686,1.41559
AG,11.0413330070071,1.41540
TG,36.2353133968922,1.41540
AT,39.9094582414636,1.41540
RO,10.0547706701782,1.41540
SO,18.4762658347010,1.41540
RS,17.4943506795385,1.41540
MP,10.0547748537614,1.41540
BH,11.0415030490210,1.41540
AG,4.28572823363000,1.41550
TG,14.0704170841136,1.41550
AT,15.5216583820381,1.41550
RO,3.90282599001498,1.41550
SO,7.18646454822231,1.41550
RS,6.82536523131120,1.41550
MP,3.90284013075772,1.41550
BH,4.28552895341598,1.41550
AG,11.9665068746854,1.41555
TG,39.1932544765597,1.41555
AT,43.1619684945152,1.41555
RO,10.8980196623824,1.41555
SO,19.9648319559560,1.41555
RS,18.8956733371416,1.41555
MP,10.8981884753498,1.41555
BH,11.9662869093892,1.41555
AG,149.306424266803,1.4145
TG,488.703257823595,1.4145
AT,538.859146275520,1.4145
RO,135.951786841214,1.4145
SO,249.186310355869,1.4145
RS,236.393264942712,1.4145
MP,135.951846651273,1.4145
BH,149.306086575367,1.4145
AG,57.0670206093167,1.4151
TG,187.038093253633,1.4151
AT,206.103292304060,1.4151
RO,51.9673238756568,1.4151
SO,95.3663109717442,1.4151
RS,90.3596356666882,1.4151
MP,51.9672017305823,1.4151
BH,57.0669178235939,1.4151
AG,19.6109836391594,1.4156
TG,64.3990050802929,1.4156
AT,70.9185108569540,1.4156
RO,17.8597944951908,1.4156
SO,32.8455250581159,1.4156
RS,31.0855338738538,1.4156
MP,17.8597203902114,1.4156
BH,19.6110005446964,1.4156
AG,226.067357413835,1.4140
TG,739.252003407841,1.4140
AT,815.558230562577,1.4140
RO,205.832785803238,1.4140
SO,376.932121983058,1.4140
RS,357.980944516157,1.4140
MP,205.832767817893,1.4140
BH,226.067242026616,1.4140
AG,118.553337434362,1.4147
TG,388.219191597316,1.4147
AT,427.971093165124,1.4147
RO,107.953132834759,1.4147
SO,197.956908004847,1.4147
RS,187.717357714245,1.4147
MP,107.953071041651,1.4147
BH,118.553657272164,1.4147
AG,26.3327432974483,1.4153
TG,86.3317965101277,1.4153
AT,95.1122803313342,1.4153
RO,23.9802679028678,1.4153
SO,44.0250860214190,1.4153
RS,41.6904785581964,1.4153
MP,23.9801927584191,1.4153
BH,26.3325422530709,1.4153
AG,65.5410382091893,1.4159
TG,215.247589713618,1.4159
AT,236.975667127416,1.4159
RO,59.6909178519400,1.4159
SO,109.792299026199,1.4159
RS,103.833857378246,1.4159
MP,59.6908189755115,1.4159
BH,65.5410637425521,1.4159
AG,7.96848977765805,1.41542
TG,26.0982020342539,1.41542
AT,28.7690867799464,1.41542
RO,7.25653248114240,1.41542
SO,13.3111602410902,1.41542
RS,12.6229316144587,1.41542
MP,7.25651876625767,1.41542
BH,7.96860377188056,1.41542
AG,1.82250335294883,1.41546
TG,5.97913342907119,1.41546
AT,6.57447594416264,1.41546
RO,1.66014745720373,1.41546
SO,3.03819357520911,1.41546
RS,2.87177906065186,1.41546
MP,1.66016216246340,1.41546
BH,1.82321432661103,1.41546
AG,10.4308097365506,1.41554
TG,34.2099898933282,1.41554
AT,37.6595631147020,1.41554
RO,9.49920343896840,1.41554
SO,17.4364274396136,1.41554
RS,16.4889598534966,1.41554
MP,9.49900922708911,1.41554
BH,10.4300652878167,1.41554
AG,6.43160124838996,1.41543
TG,21.1741197628632,1.41543
AT,23.3006563597738,1.41543
RO,5.85743933312649,1.41543
SO,10.8003420769631,1.41543
RS,10.2054563131422,1.41543
MP,5.85746853674515,1.41543
BH,6.43224126975989,1.41543
AG,1.21313845687338,1.41548
TG,4.05433206654014,1.41548
AT,4.45495351456267,1.41548
RO,1.10481730099596,1.41548
SO,2.07575329007040,1.41548
RS,1.95915756716944,1.41548
MP,1.10477751598348,1.41548
BH,1.21312963500034,1.41548
AG,13.5032842486647,1.41556
TG,44.3498484896399,1.41556
AT,48.8307094687400,1.41556
RO,12.2971079692395,1.41556
SO,22.6196310314439,1.41556
RS,21.3995283180444,1.41556
MP,12.2969967908870,1.41556
BH,13.5029418372734,1.41556
AG,164.538351109330,1.4144
TG,538.558532105929,1.4144
AT,593.866825751960,1.4144
RO,149.819320586664,1.4144
SO,274.616352353421,1.4144
RS,260.554859544974,1.4144
MP,149.819334484957,1.4144
BH,164.538735826247,1.4144
AG,133.781936152425,1.4146
TG,437.960421226006,1.4146
AT,482.844245817464,1.4146
RO,121.818369760897,1.4146
SO,223.301701658413,1.4146
RS,211.785257218097,1.4146
MP,121.818471906653,1.4146
BH,133.782755425657,1.4146
AG,41.8459410694868,1.4152
TG,137.173507880869,1.4152
AT,151.156325545503,1.4152
RO,38.1066807354157,1.4152
SO,69.9592418488996,1.4152
RS,66.2874540478468,1.4152
MP,38.1066056098133,1.4152
BH,41.8456368130514,1.4152
AG,0.139689430839701,1.41547290
TG,0.508603408253486,1.41547290
AT,0.557097117745060,1.41547290
RO,0.126974630280831,1.41547290
SO,0.279192342922603,1.41547290
RS,0.253679492582217,1.41547290
MP,0.126993295489258,1.41547290
BH,0.138975786898554,1.41547290
AG,0.00326833632386224,1.41547201
TG,0.0985026564389050,1.41547201
AT,0.0959545665497337,1.41547201
RO,0.00273849287417535,1.41547201
SO,0.0587690030498031,1.41547201
RS,0.0570819924662040,1.41547201
MP,0.00254608786118618,1.41547201
BH,0.00305053735749222,1.41547201
AG,0.0118422487577570,1.41547207
TG,0.0146667644278499,1.41547207
AT,0.0234563268808797,1.41547207
RO,0.0109750793821342,1.41547207
SO,0.0183843185843691,1.41547207
RS,0.0282623840015535,1.41547207
MP,0.0109474497585123,1.41547207
BH,0.0124400189089284,1.41547207
AG,179.772350090725,1.4143
TG,588.240075895606,1.4143
AT,648.741429190134,1.4143
RO,163.687988227861,1.4143
SO,299.951707582977,1.4143
RS,284.665495550305,1.4143
MP,163.688036416068,1.4143
BH,179.771505020720,1.4143
AG,72.2902258587791,1.4150
TG,236.870718216234,1.4150
AT,261.044094812810,1.4150
RO,65.8290476213584,1.4150
SO,120.800240880672,1.4150
RS,114.470599795555,1.4150
MP,65.8290194748750,1.4150
BH,72.2898215921074,1.4150
AG,35.1174270186766,1.4157
TG,115.237767608393,1.4157
AT,126.919893410936,1.4157
RO,31.9820209315082,1.4157
SO,58.7771499789207,1.4157
RS,55.6298093724052,1.4157
MP,31.9820115029946,1.4157
BH,35.1173085480756,1.4157
AG,210.536466729345,1.4141
TG,688.654747648420,1.4141
AT,759.628721960727,1.4141
RO,191.694317091526,1.4141
SO,351.128972566845,1.4141
RS,333.378552901029,1.4141
MP,191.694307731844,1.4141
BH,210.536563582913,1.4141
AG,87.8073587131761,1.4149
TG,287.733635888198,1.4149
AT,317.112552309685,1.4149
RO,79.9583207699007,1.4149
SO,146.741653676179,1.4149
RS,139.070607967925,1.4149
MP,79.9582866347676,1.4149
BH,87.8077958282227,1.4149
