SEGMENT,DISTANCE,ANGLE
AG,470.220763348992,1.23
HN,470.220756304446,1.23
AG,470.171718233416,1.2300001
HN,470.171711189243,1.2300001
AG,470.122671660508,1.2300002
HN,470.122664618725,1.2300002
AG,470.073621328872,1.2300003000000002
HN,470.073614287020,1.2300003000000002
AG,470.024578192171,1.2300004000000002
HN,470.024571151371,1.2300004000000002
AG,469.975531654874,1.2300005000000003
HN,469.975524614426,1.2300005000000003
AG,469.926485887863,1.2300006000000003
HN,469.926478847609,1.2300006000000003
AG,469.877435319395,1.2300007000000004
HN,469.877428280044,1.2300007000000004
AG,469.828388428046,1.2300008000000004
HN,469.828381389723,1.2300008000000004
AG,469.779338408287,1.2300009000000005
HN,469.779331370428,1.2300009000000005
AG,469.730293713552,1.2300010000000006
HN,469.730286674917,1.2300010000000006
AG,469.681248119946,1.2300011000000006
HN,469.681241082304,1.2300011000000006
AG,469.632201510078,1.2300012000000007
HN,469.632194473938,1.2300012000000007
AG,469.583151768549,1.2300013000000007
HN,469.583144731817,1.2300013000000007
AG,469.534108243428,1.2300014000000008
HN,469.534101209722,1.2300014000000008
AG,469.485061722019,1.2300015000000009
HN,469.485054688792,1.2300015000000009
AG,469.436014734312,1.230001600000001
HN,469.436007700541,1.230001600000001
AG,469.386965868877,1.230001700000001
HN,469.386958838526,1.230001700000001
AG,469.337921840670,1.230001800000001
HN,469.337914806704,1.230001800000001
AG,469.288873789481,1.230001900000001
HN,469.288866759020,1.230001900000001
AG,469.239826568134,1.2300020000000011
HN,469.239819537722,1.2300020000000011
AG,469.190777828482,1.2300021000000012
HN,469.190770799588,1.2300021000000012
AG,469.141732350746,1.2300022000000013
HN,469.141725321627,1.2300022000000013
AG,469.092683742976,1.2300023000000013
HN,469.092676714745,1.2300023000000013
AG,469.043638491910,1.2300024000000014
HN,469.043631465268,1.2300024000000014
AG,468.994591438364,1.2300025000000014
HN,468.994584411722,1.2300025000000014
AG,468.945544516690,1.2300026000000015
HN,468.945537491463,1.2300026000000015
AG,468.896498613066,1.2300027000000016
HN,468.896491587407,1.2300027000000016
AG,468.847449088377,1.2300028000000016
HN,468.847442064913,1.2300028000000016
AG,468.798405807732,1.2300029000000017
HN,468.798398784900,1.2300029000000017
AG,468.749354918780,1.2300030000000017
HN,468.749347896532,1.2300030000000017
AG,468.700313448736,1.2300031000000018
HN,468.700306426319,1.2300031000000018
AG,468.651262380191,1.2300032000000019
HN,468.651255359863,1.2300032000000019
AG,468.602216292202,1.230003300000002
HN,468.602209270383,1.230003300000002
AG,468.553171194210,1.230003400000002
HN,468.553164175213,1.230003400000002
AG,468.504124551072,1.230003500000002
HN,468.504117532288,1.230003500000002
AG,468.455077559687,1.230003600000002
HN,468.455070541669,1.230003600000002
AG,468.406032020704,1.2300037000000021
HN,468.406025004065,1.2300037000000021
AG,468.356985206800,1.2300038000000022
HN,468.356978191243,1.2300038000000022
AG,468.307934294710,1.2300039000000023
HN,468.307927277544,1.2300039000000023
AG,468.258889688610,1.2300040000000023
HN,468.258882671757,1.2300040000000023
AG,468.209845118995,1.2300041000000024
HN,468.209838103223,1.2300041000000024
AG,468.160796082170,1.2300042000000024
HN,468.160789066786,1.2300042000000024
AG,468.111748630704,1.2300043000000025
HN,468.111741617816,1.2300043000000025
AG,468.062703074867,1.2300044000000026
HN,468.062696063596,1.2300044000000026
AG,468.013657797686,1.2300045000000026
HN,468.013650787367,1.2300045000000026
AG,467.964611481858,1.2300046000000027
HN,467.964604470543,1.2300046000000027
AG,467.915563806296,1.2300047000000027
HN,467.915556794415,1.2300047000000027
AG,467.866518673595,1.2300048000000028
HN,467.866511663612,1.2300048000000028
AG,467.817469714195,1.2300049000000028
HN,467.817462705128,1.2300049000000028
AG,467.768424556966,1.230005000000003
