SEGMENT,DISTANCE,ANGLE
AG,3.24086688269240,1.2309528
HN,3.24086683426605,1.2309528
AG,3.19189207409028,1.2309529
HN,3.19189202570979,1.2309529
AG,3.14291445040157,1.230953
HN,3.14291440360788,1.230953
AG,3.09393979301524,1.2309531
HN,3.09393974581322,1.2309531
AG,3.04496396022643,1.2309532
HN,3.04496391477433,1.2309532
AG,2.99598537202951,1.2309533
HN,2.99598532470433,1.2309533
AG,2.94701295133233,1.2309534
HN,2.94701290648525,1.2309534
AG,1.18389812244250,1.230957
HN,1.18389810437315,1.230957
AG,1.13492036946353,1.2309571
HN,1.13492035304709,1.2309571
AG,1.08594923655107,1.2309572
HN,1.08594922013768,1.2309572
AG,1.03696873178030,1.2309573
HN,1.03696871689027,1.2309573
AG,0.987994942975323,1.2309574
HN,0.987994929148523,1.2309574
AG,0.939018687315799,1.2309575
HN,0.939018672745168,1.2309575
AG,0.890047397270873,1.2309576
HN,0.890047383716935,1.2309576
AG,2.24435316123884,1.230964
HN,2.24435312722443,1.230964
AG,2.29332797944928,1.2309641
HN,2.29332794434777,1.2309641
AG,2.34230433661631,1.2309642
HN,2.34230430282924,1.2309642
AG,2.39127780762846,1.2309643
HN,2.39127777192562,1.2309643
AG,2.44025456756234,1.2309644
HN,2.44025453093507,1.2309644
AG,2.48922589701470,1.2309645
HN,2.48922585997080,1.2309645
AG,2.53820287548975,1.2309646
HN,2.53820283836131,1.2309646
AG,0.0334693530090059,1.230959349
HN,0.0334693528968542,1.230959349
AG,0.0329802496779584,1.23095935
HN,0.0329802497695076,1.23095935
AG,0.0324887183481928,1.230959351
HN,0.0324887182269923,1.230959351
AG,0.0320011276210843,1.230959352
HN,0.0320011262293321,1.230959352
AG,0.0315127585003513,1.230959353
HN,0.0315127589436596,1.230959353
AG,0.0310214544923550,1.230959354
HN,0.0310214541392394,1.230959354
AG,0.0305346257629308,1.230959355
HN,0.0305346248116548,1.230959355
AG,0.00620662472068189,1.230959405
HN,0.00620644189659914,1.230959405
AG,0.00570528023471468,1.230959406
HN,0.00570511262809044,1.230959406
AG,0.00520175463045491,1.230959407
HN,0.00520160097519454,1.230959407
AG,0.00469721492847808,1.230959408
HN,0.00469707600916035,1.230959408
AG,0.00419656511321239,1.230959409
HN,0.00419644204808774,1.230959409
AG,0.00369126908056499,1.23095941
HN,0.00369116144520448,1.23095941
AG,0.00318984946630677,1.230959411
HN,0.00318975483782463,1.230959411
AG,0.00268801853391632,1.230959412
HN,0.00268793886535069,1.230959412
AG,0.00218170879752941,1.230959413
HN,0.00218164457202422,1.230959413
AG,0.00168103488850304,1.230959414
HN,0.00168098616875210,1.230959414
AG,0.00117669466637006,1.230959415
HN,0.00117665957917549,1.230959415
AG,0.000675488637830687,1.230959416
HN,0.000675467962620721,1.230959416
AG,0.000173537027473239,1.230959417
HN,0.000173530933451099,1.230959417
AG,0.000332064014548897,1.230959418
HN,0.000332053264633295,1.230959418
AG,0.0248106262747261,1.230959468
HN,0.0248106255939780,1.230959468
AG,0.0253016517477713,1.230959469
HN,0.0253016536525122,1.230959469
AG,0.0257897214405735,1.23095947
HN,0.0257897206358284,1.23095947
AG,0.0262799042933260,1.230959471
HN,0.0262799046566647,1.230959471
AG,0.0267669879241536,1.230959472
HN,0.0267669883176497,1.230959472
AG,0.0272605256685825,1.230959473
HN,0.0272605255237993,1.230959473
AG,0.0277478631629818,1.230959474
HN,0.0277478618200894,1.230959474
AG,62097.9955301981,1.114
HN,62097.9947887390,1.114
AG,61529.1360348007,1.115
HN,61529.1352986414,1.115
AG,60960.8765263159,1.116
HN,60960.8757954744,1.116
AG,60393.2185269513,1.117
HN,60393.2178014435,1.117
AG,59826.1635512857,1.118
HN,59826.1628311326,1.118
AG,59259.7131161524,1.119
HN,59259.7124013709,1.119
AG,58693.8687272078,1.12
HN,58693.8680178177,1.12
AG,27489.7599875906,1.177
HN,27489.7596155350,1.177
AG,26961.5189062238,1.178
HN,26961.5185406067,1.178
AG,26433.9661545105,1.179
HN,26433.9657953491,1.179
AG,25907.1030126415,1.18
HN,25907.1026599528,1.18
AG,25380.9307450907,1.181
HN,25380.9303988928,1.181
AG,24855.4506213041,1.182
HN,24855.4502816144,1.182
AG,24330.6639114225,1.183
HN,24330.6635782591,1.183
AG,2438.08535092425,1.226
HN,2438.08531467354,1.226
AG,1944.99898530152,1.227
HN,1944.99895632878,1.227
AG,1452.65871790644,1.228
HN,1452.65869622462,1.228
AG,961.065617415756,1.229
HN,961.065603045567,1.229
AG,470.220763348992,1.23
HN,470.220756304446,1.23
AG,19.8747772178808,1.231
HN,19.8747769184126,1.231
AG,509.219953272995,1.232
HN,509.219945612828,1.232
AG,23997.4951976176,1.282
HN,23997.4948016083,1.282
AG,24447.2607330654,1.283
HN,24447.2603288921,1.283
AG,24896.2264567798,1.284
HN,24896.2260444294,1.284
AG,25344.3915330248,1.285
HN,25344.3911124857,1.285
