x1,y1,z1,x2,y2,z2
1.41547199,1056,4,,,
1.41547199,541,2,,,
1.41547199,1043,4,,,
1.41547199,1913,2,,,
1.41547199,1185,2,,,
1.41547199,539,2,,,
1.41547199,1992,4,,,
1.41547199,1030,10,,,
1.41547199,762,4,,,
1.41547199,18,8,,,
1.41547199,1696,4,,,
1.41547199,1969,2,,,
1.41547199,1915,2,,,
1.41547199,1562,2,,,
1.41547199,1525,4,,,
1.41547199,1665,8,,,
1.41547199,505,10,,,
1.41547199,37,4,,,
1.41547199,734,2,,,
1.41547199,799,4,,,
1.41547199,44,4,,,
1.41547199,29,8,,,
1.41547199,2009,4,,,
1.41547199,1784,4,,,
1.41547199,131,4,,,
1.41547199,767,12,,,
1.41547199,135,2,,,
1.41547199,1537,14,,,
1.41547199,249,4,,,
1.41547199,192,6,,,
1.41547199,1790,10,,,
1.41547199,959,6,,,
1.41547199,379,2,,,
1.41547199,1521,4,,,
1.41547199,1968,2,,,
1.41547199,1966,2,,,
1.41547199,2044,16,,,
1.41547199,507,8,,,
1.41547199,637,4,,,
1.41547199,381,4,,,
1.41547199,51,4,,,
1.41547199,71,2,,,
1.41547199,112,2,,,
1.41547199,1554,2,,,
1.41547199,1037,6,,,
1.41547199,6,14,,,
1.41547199,1415,2,,,
1.41547199,1916,4,,,
1.41547199,528,2,,,
1.41547199,382,8,,,
1.41547199,2020,8,,,
1.41547199,417,2,,,
1.41547199,1285,4,,,
1.41547199,1947,2,,,
1.41547199,1632,4,,,
1.41547199,2002,4,,,
1.41547199,1981,2,,,
1.41547199,1918,8,,,
1.41547199,1003,4,,,
1.41547199,1919,10,,,
1.41547199,1997,4,,,
1.41547199,1524,4,,,
1.41547199,27,8,,,
1.41547199,47,4,,,
1.41547199,1563,2,,,
1.41547199,1541,8,,,
1.41547199,447,6,,,
1.41547199,111,2,,,
1.41547199,92,2,,,
1.41547199,1007,4,,,
1.41547199,58,4,,,
1.41547199,1938,2,,,
1.41547199,1945,2,,,
1.41547199,1159,2,,,
1.41547199,50,4,,,
1.41547199,353,2,,,
1.41547199,1156,2,,,
1.41547199,521,4,,,
1.41547199,387,4,,,
1.41547199,1912,2,,,
1.41547199,1183,4,,,
1.41547199,1930,2,,,
1.41547199,1567,6,,,
1.41547199,117,2,,,
1.41547199,641,8,,,
1.41547199,1888,4,,,
1.41547199,527,4,,,
1.41547199,1914,2,,,
1.41547199,79,2,,,
1.41547199,647,2,,,
1.41547199,2010,4,,,
1.41547199,1887,4,,,
1.41547199,385,8,,,
1.41547199,892,4,,,
1.41547199,1694,2,,,
1.41547199,1057,2,,,
1.41547199,1669,2,,,
1.41547199,2007,4,,,
1.41547199,632,2,,,
1.41547199,1509,2,,,
1.41547199,60,4,,,
1.41547199,1147,2,,,
1.41547199,20,8,,,
1.41547199,1949,2,,,
1.41547199,88,2,,,
1.41547199,2024,8,,,
1.41547199,704,6,,,
1.41547199,158,2,,,
1.41547199,2038,10,,,
1.41547199,1031,10,,,
1.41547199,90,2,,,
1.41547199,2029,8,,,
1.41547199,1029,10,,,
1.41547199,489,2,,,
1.41547199,1519,2,,,
1.41547199,1823,4,,,
1.41547199,1019,10,,,
1.41547199,1522,4,,,
1.41547199,122,4,,,
1.41547199,70,2,,,
1.41547199,1543,12,,,
1.41547199,1536,16,,,
1.41547199,993,6,,,
1.41547199,525,4,,,
1.41547199,66,2,,,
1.41547199,1274,4,,,
1.41547199,1053,4,,,
1.41547199,1933,2,,,
1.41547199,78,2,,,
1.41547199,1798,4,,,
1.41547199,773,4,,,
1.41547199,2015,12,,,
1.41547199,847,4,,,
1.41547199,1788,6,,,
1.41547199,1055,8,,,
1.41547199,1018,10,,,
1.41547199,642,4,,,
1.41547199,1931,2,,,
1.41547199,1667,4,,,
1.41547199,2005,4,,,
1.41547199,8,10,,,
1.41547199,318,4,,,
1.41547199,57,4,,,
1.41547199,1922,6,,,
1.41547199,1249,2,,,
1.41547199,996,4,,,
1.41547199,2033,10,,,
1.41547199,506,8,,,
1.41547199,903,2,,,
1.41547199,1023,18,,,
1.41547199,490,2,,,
1.41547199,10,10,,,
1.41547199,34,4,,,
1.41547199,497,4,,,
1.41547199,1557,2,,,
1.41547199,702,4,,,
1.41547199,543,6,,,
1.41547199,107,2,,,
1.41547199,114,2,,,
1.41547199,1854,4,,,
1.41547199,134,2,,,
1.41547199,377,2,,,
1.41547199,1886,2,,,
1.41547199,1402,2,,,
1.41547199,1033,6,,,
1.41547199,2011,4,,,
1.41547199,1216,6,,,
1.41547199,760,4,,,
1.41547199,41,4,,,
1.41547199,23,8,,,
1.41547199,75,2,,,
1.41547199,1470,4,,,
1.41547199,1048,4,,,
1.41547199,1671,2,,,
1.41547199,1345,4,,,
1.41547199,1032,6,,,
1.41547199,1408,10,,,
1.41547199,1943,2,,,
1.41547199,45,4,,,
1.41547199,487,2,,,
1.41547199,1158,2,,,
1.41547199,1146,2,,,
1.41547199,2046,22,,,
1.41547199,1555,2,,,
1.41547199,414,2,,,
1.41547199,990,2,,,
1.41547199,65,8,,,
1.41547199,1995,4,,,
1.41547199,514,10,,,
1.41547199,1534,14,,,
1.41547199,635,2,,,
1.41547199,53,4,,,
1.41547199,108,2,,,
1.41547199,496,4,,,
1.41547199,1927,4,,,
1.41547199,1556,2,,,
1.41547199,86,2,,,
1.41547199,1759,4,,,
1.41547199,1405,4,,,
1.41547199,771,6,,,
1.41547199,1989,4,,,
1.41547199,22,8,,,
1.41547199,1928,2,,,
1.41547199,544,4,,,
1.41547199,1948,2,,,
1.41547199,512,16,,,
1.41547199,2006,4,,,
1.41547199,1374,2,,,
1.41547199,1021,12,,,
1.41547199,1990,4,,,
1.41547199,1088,6,,,
1.41547199,640,10,,,
1.41547199,1540,8,,,
1.41547199,1994,4,,,
1.41547199,774,4,,,
1.41547199,1145,2,,,
1.41547199,1545,4,,,
1.41547199,38,4,,,
1.41547199,13,10,,,
1.41547199,2025,8,,,
1.41547199,1758,2,,,
1.41547199,448,6,,,
1.41547199,1214,4,,,
1.41547199,113,2,,,
1.41547199,1471,6,,,
1.41547199,123,4,,,
1.41547199,262,4,,,
1.41547199,633,2,,,
1.41547199,390,2,,,
1.41547199,844,4,,,
1.41547199,1960,2,,,
1.41547199,1976,2,,,
1.41547199,1310,2,,,
1.41547199,2040,14,,,
1.41547199,1546,4,,,
1.41547199,520,4,,,
1.41547199,577,4,,,
1.41547199,389,2,,,
1.41547199,193,4,,,
1.41547199,1506,2,,,
1.41547199,495,2,,,
1.41547199,736,4,,,
1.41547199,479,4,,,
1.41547199,1695,4,,,
1.41547199,1504,6,,,
1.41547199,46,4,,,
1.41547199,2021,8,,,
1.41547199,61,4,,,
1.41547199,1154,4,,,
1.41547199,926,2,,,
1.41547199,481,4,,,
1.41547199,1977,2,,,
1.41547199,63,14,,,
1.41547199,1533,10,,,
1.41547199,1406,8,,,
1.41547199,1921,14,,,
1.41547199,1991,4,,,
1.41547199,2030,8,,,
